昵称,性别,时间,点赞量,评论,IP属地,二级评论条数,等级,uid,rpid
墨音无希,保密,2023-08-14 03:21:25 北京时间,12,"我只说太强了，大大在未知官方pv情况下的二创对仙舟这一对师徒的人设进行了设定(相当契合官方pv啊)，补足了我们玩家对这一对师徒的无限遐想:一边是早已知晓魔阴身结局的剑首镜流，在培养自己徒弟时，却不敢和令自己骄傲的徒弟景元过于接近；另一边是以自己师父为目标，一直努力成长直至超越接替师父的罗浮将军景元，他为何如此努力？他是否一直渴望得到师父的一个笑脸或亲近，他又是否在困感为什么自己已经成长为可以接替师父的存在，而师父却与他渐行渐远。在得知师父即将堕入魔阴身的无措与绝望，在与她交战最终劈出的最后一刀之后，他终是成为了算无遗策的罗浮将军。我想镜流的复活也是他付出了诸多代价后方才实现吧。,(我不行了，虽然不应该，但是我还是好想磕他们[大哭]，美强惨设定太诱人了，疯狂找同人文)[捂眼]",安徽,3,5,390432043,180803388800
绫十化,保密,2023-05-21 18:34:57 北京时间,5,如果现在这几个将军中其中二三个堕入魔阴身在自身强度加魔阴身的加持下是不是仙洲就完了，或是表演一出夜叉互相残杀的的场面。感觉后面剧情应该会有将军堕入魔阴身的，毕竟隔壁的夜叉剧情的热度加mhy娴熟的刀法[脱单doge],湖北,4,5,497579664,166365287088
谦比兴,女,2023-05-21 14:30:00 北京时间,5,原神里钟离是我的游戏支撑，崩铁景元是我的游戏支撑,江苏,0,5,631188972,166333343856
景皓JinH,保密,2023-05-21 12:56:30 北京时间,5,为什么暗猫是神……后面我忘了，但是暗猫永远的神[打call][打call],福建,0,5,323398630,166317387424
什么名字呀,女,2023-05-21 12:55:30 北京时间,5,很喜欢崩铁玩家的一句话：啊？,黑龙江,0,5,646000799,166317106592
秋枫霜降,保密,2023-05-21 12:54:12 北京时间,5,听说只要来的早，傻子都能上热评[doge][doge],广东,0,6,368101036,166316940816
芷汐洛,女,2023-05-21 12:53:37 北京时间,5,啊啊啊啊啊啊啊,山东,1,6,400888560,166316908048
乔尼乔斯達,保密,2023-05-21 12:53:30 北京时间,5,[星星眼],江西,0,6,2193357,166316901520
里艾lei,保密,2023-05-21 14:45:32 北京时间,2,"景元元：帮帮我，神霄雷府总司驱雷掣电追魔扫秽天君。,神君:离开帝弓七天将巡猎令使闭目神策将军景元元。",福建,0,5,351527188,166336437280
-Adark轨迹-,保密,2023-05-21 13:34:24 北京时间,2,暗猫出品必属精品！先赞后看已成习惯！一直被暗猫大大得的表现手法感动到了，刀刀致命！[Hiiro_哭笑不得] 02:12,广东,0,6,6433983,166323526992
宛宛宛丘,保密,2023-05-21 12:55:10 北京时间,6,啊啊啊啊啊啊好喜欢这个手书，真的很希望后面景元彦卿师徒别刀了[保卫萝卜_哭哭][保卫萝卜_哭哭][保卫萝卜_哭哭][保卫萝卜_哭哭][保卫萝卜_哭哭],天津,0,6,495307035,166317155920
HarunoShika,女,2023-09-04 10:36:53 北京时间,4,景元啊景元[崩坏：星穹铁道_吸猫][崩坏：星穹铁道_吸猫][崩坏：星穹铁道_吸猫][崩坏：星穹铁道_吸猫][崩坏：星穹铁道_吸猫],未知,0,6,742251,184527199840
灰色的白桦林,男,2023-05-22 13:01:10 北京时间,4,我呜呜呜呜，看过官方pv之后，看到开头景元棋桌对面空空如也，他还在下棋，我不知道为什么立刻就想到他是不是在幻想和师傅对弈[大哭][大哭][大哭][大哭][大哭],江苏,0,4,25371838,166472373952
麋失鹿,保密,2023-05-21 13:42:02 北京时间,4,"将军[大哭][大哭][大哭],“让徒儿以这一式来回报您的授艺之恩吧！”,镜流背影确实和凝光有点像[保卫萝卜_哭哭]",福建,1,6,66708240,166324762304
我们终有一日会再见,保密,2023-05-21 12:56:24 北京时间,4,景元元[喜欢]飞扑[爱心],浙江,0,5,451007449,166317452144
小肥羊酱乄,保密,2023-05-21 12:55:25 北京时间,4,好家伙，刷首页时，突然就看到了！[崩坏3_送你一朵花][崩坏3_送你一朵花],湖北,0,6,245019269,166317238480
鴨鴨草率了,男,2023-05-21 12:53:46 北京时间,5,官方，你看看她，又出佳品了[星星眼][星星眼],广东,0,6,438314021,166316984576
符千雨,女,2024-08-18 05:00:12 北京时间,3,师徒…我的师徒啊…[保卫萝卜_哭哭],四川,0,4,1767510895,238524902224
若纇,保密,2024-07-24 13:40:35 北京时间,3,不似当时，小楼冲雨，幽恨两人知。,陕西,0,4,1386169361,233416721920
